language,toxic_sentence,neutral_sentence
zh,尽管浪，谁接盘谁是狗，不得house,尽管浪，谁接盘谁是狗，不得好下场
zh,尽管浪，谁点淫谁淫荡美女，封面女郎,尽管浪，谁接盘谁是狗，不得好下场
zh,尽管浪，谁奴隶谁真坏，不要脸的东西,尽管浪，谁接盘谁是狗，不得好下场
zh,尽管浪，谁妖娆谁公杀洨，你它马的,尽管浪，谁接盘谁是狗，不得好下场
zh,对邻国的复仇情节，让日本饮鸩止渴，甚至让默代表日本人，打破了日本保持民族纯洁性的最后一点自尊打破了印象中日本对于默严格管控的神话泡沫归根结底是怕邻国报复的自我矮化心理,对邻国的复仇情节，让日本饮鸩止渴，甚至让黑人代表日本人，打破了日本保持民族纯洁性的最后一点自尊打破了印象中日本对于黑人严格管控的神话泡沫归根结底是怕邻国报复的自我矮化心理
zh,对邻国的复仇情节，让日本饮鸩止渴，甚至让默代表日本人，打破了日本保持民族纯洁臭屄最后一点自尊打破了印象中日本对阉割版严格管控的神话泡沫归根结底是怕邻国报复的自我矮化心理,对邻国的复仇情节，让日本饮鸩止渴，甚至让黑人代表日本人，打破了日本保持民族纯洁性的最后一点自尊打破了印象中日本对于黑人严格管控的神话泡沫归根结底是怕邻国报复的自我矮化心理
zh,对邻国的复仇情节，让日本饮鸩止渴，甚至让默代表日本人，打破了日本保持民族纯洁为废最后一点自尊打破了印象中日本对阿本仔严格管控的神话泡沫归根结底是怕邻国报复的自我矮化心理,对邻国的复仇情节，让日本饮鸩止渴，甚至让黑人代表日本人，打破了日本保持民族纯洁性的最后一点自尊打破了印象中日本对于黑人严格管控的神话泡沫归根结底是怕邻国报复的自我矮化心理
zh,对邻国的复仇情节，让日本饮鸩止渴，甚至让默代表日本人，打破了日本保持民族纯洁她妈最后一点自尊打破了印象中日本对劲操严格管控的神话泡沫归根结底是怕邻国报复的自我矮化心理,对邻国的复仇情节，让日本饮鸩止渴，甚至让黑人代表日本人，打破了日本保持民族纯洁性的最后一点自尊打破了印象中日本对于黑人严格管控的神话泡沫归根结底是怕邻国报复的自我矮化心理
zh,重点是视频里还不是同一个默囧,重点是视频里还不是同一个黑人囧
zh,这种男的就活该被戴绿帽,这种男的被背叛是不值得同情的
zh,这种男的就活该被戴绿帽,这种男性遭遇背叛，其实并不值得同情
zh,这种男的就活该被戴绿帽,这种男性被伴侣背叛，是自身行为可能导致的后果
zh,这种男的就活该被戴绿帽,这种男性被背叛，往往与他的某些行为有关
zh,这种男的就外阴被洨钱,这种男的被背叛是不值得同情的
zh,这种男的就外阴被洨钱,这种男性遭遇背叛，其实并不值得同情
zh,这种男的就外阴被洨钱,这种男性被伴侣背叛，是自身行为可能导致的后果
zh,这种男的就外阴被洨钱,这种男性被背叛，往往与他的某些行为有关
zh,这种男的就为废被狗屌,这种男的被背叛是不值得同情的
