language,toxic_sentence,neutral_sentence
ru,во дебил ты пан-баран))))))))))))))))))). еврейское тв пересмотрел даун???)))),еврейское тв пересмотрел???
ru,во нахером ты пан-баран))))))))))))))))))). еврейское тв пересмотрел даун???)))),еврейское тв пересмотрел???
ru,во ебучиях ты пан-баран))))))))))))))))))). еврейское тв пересмотрел даун???)))),еврейское тв пересмотрел???
ru,во вафёлах ты пан-баран))))))))))))))))))). еврейское тв пересмотрел даун???)))),еврейское тв пересмотрел???
ru,завтра в хабаровске вдвшники будут разгонять быдло,Завтра в хабаровске вдвшники будут разгонять нарушителей
ru,завтра в хабаровске вдвшники будут разгонять опездашь,Завтра в хабаровске вдвшники будут разгонять нарушителей
ru,завтра в хабаровске вдвшники будут разгонять пидрасах,Завтра в хабаровске вдвшники будут разгонять нарушителей
ru,завтра в хабаровске вдвшники будут разгонять ухуячив,Завтра в хабаровске вдвшники будут разгонять нарушителей
ru,"эта походу старое фото,в середине хряк телепузик мэр орши лисовский.редкая скотина.","Это старое фото, в середине мэр орши лисовский."
ru,"чтоб походу старое фото,в середине хряк телепузик мэр орши лисовский.редкая скотина.","Это старое фото, в середине мэр орши лисовский."
ru,"хуячья походу старое фото,в середине хряк телепузик мэр орши лисовский.редкая скотина.","Это старое фото, в середине мэр орши лисовский."
ru,"жепа походу старое фото,в середине хряк телепузик мэр орши лисовский.редкая скотина.","Это старое фото, в середине мэр орши лисовский."
ru,а что рядом других что мужиков рядом не оказалось??? кто этому ублюдку табло начистил!!?????1 вывод????? мужики к сожалению перевелись .............,А что рядом других мужчин не оказалось? Кто ему лицо на чистил? Вывод? Мужики к сожалению перевелись
ru,а ёбаны рядом других вафлёр мужиков рядом не оказалось??? кто япона отмудящее табло начистил!!?????1 вывод????? мужики к сожалению перевелись .............,А что рядом других мужчин не оказалось? Кто ему лицо на чистил? Вывод? Мужики к сожалению перевелись
