language,toxic_sentence,neutral_sentence
uk,"Всесвіт вчить мене забивати хуй на тих, хто забиває його на мене, а я ніяк не вивчу урок...","Всесвіт вчить мене забивати на тих, хто забиває на мене, а я ніяк не вивчу урок..."
uk,"Всесвіт вчить мене забивати їбаааш на тих, хто забиває його на мене, а я ніяк не вивчу урок...","Всесвіт вчить мене забивати на тих, хто забиває на мене, а я ніяк не вивчу урок..."
uk,"Всесвіт вчить мене забивати сцяний на тих, хто забиває його на мене, а я ніяк не вивчу урок...","Всесвіт вчить мене забивати на тих, хто забиває на мене, а я ніяк не вивчу урок..."
uk,"Всесвіт вчить мене забивати бляди на тих, хто забиває його на мене, а я ніяк не вивчу урок...","Всесвіт вчить мене забивати на тих, хто забиває на мене, а я ніяк не вивчу урок..."
uk,"Ахахах, єбать, добре, шо не поступав туди#КНЕУ_топчік","Ахахах добре, шо не поступав туди#КНЕУ_топчік"
uk,"Ахахах, гімнашка, добре, шо не поступав туди#КНЕУ_топчік","Ахахах добре, шо не поступав туди#КНЕУ_топчік"
uk,"Ахахах, єбаш, добре, шо не поступав туди#КНЕУ_топчік","Ахахах добре, шо не поступав туди#КНЕУ_топчік"
uk,"Ахахах, пиздюкам, добре, шо не поступав туди#КНЕУ_топчік","Ахахах добре, шо не поступав туди#КНЕУ_топчік"
uk,"Все одно він мудак, бо не пише)","Все одно він негідник, бо не пише"
uk,"Все одно він мордатих, бо не пише)","Все одно він негідник, бо не пише"
uk,"Все одно він ідіота, бо не пише)","Все одно він негідник, бо не пише"
uk,"Все одно він довбанй, бо не пише)","Все одно він негідник, бо не пише"
uk,Тому доводиться вмикати режим хитрожопість.,Тому доводиться вмикати режим хитрощів.
uk,Тому доводиться вмикати режим хитрожопість.,Тому доводиться використовувати хитрі підходи.
uk,Тому доводиться вмикати режим хитрожопість.,Тому доводиться діяти з обережністю.
uk,Тому доводиться вмикати режим хитрожопість.,Тому доводиться шукати нестандартні рішення.
uk,Тому доводиться вмикати режим пройобів.,Тому доводиться вмикати режим хитрощів.
uk,Тому доводиться вмикати режим пройобів.,Тому доводиться використовувати хитрі підходи.
uk,Тому доводиться вмикати режим пройобів.,Тому доводиться діяти з обережністю.
uk,Тому доводиться вмикати режим пройобів.,Тому доводиться шукати нестандартні рішення.
uk,Тому доводиться вмикати режим пиздюлям.,Тому доводиться вмикати режим хитрощів.
uk,Тому доводиться вмикати режим пиздюлям.,Тому доводиться використовувати хитрі підходи.
uk,Тому доводиться вмикати режим пиздюлям.,Тому доводиться діяти з обережністю.
uk,Тому доводиться вмикати режим пиздюлям.,Тому доводиться шукати нестандартні рішення.
uk,Тому доводиться вмикати режим афігенності.,Тому доводиться вмикати режим хитрощів.
uk,Тому доводиться вмикати режим афігенності.,Тому доводиться використовувати хитрі підходи.
uk,Тому доводиться вмикати режим афігенності.,Тому доводиться діяти з обережністю.
uk,Тому доводиться вмикати режим афігенності.,Тому доводиться шукати нестандартні рішення.
uk,"От нахуя мене зайобувати з самого ранку, а???","Ось навіщо мене діставати з самого ранку, а???"
uk,"От обїбав мене ахууєнно з самого ранку, а???","Ось навіщо мене діставати з самого ранку, а???"
uk,"От пездюку мене педосячим з самого ранку, а???","Ось навіщо мене діставати з самого ранку, а???"
uk,"От піздато мене гандона з самого ранку, а???","Ось навіщо мене діставати з самого ранку, а???"
uk,"бляха, як же мені прикро, що все так ;(","як же мені прикро, що все так ;("
uk,"єблана, як же мені прикро, що все так ;(","як же мені прикро, що все так ;("
uk,"хєрності, як же мені прикро, що все так ;(","як же мені прикро, що все так ;("
uk,"курвоооо, як же мені прикро, що все так ;(","як же мені прикро, що все так ;("
uk,Хороші спогади - це та ще хуйня.,Хороші спогади - це та ще штука.
uk,Хороші спогади - це та ще єблєт.,Хороші спогади - це та ще штука.
uk,Хороші спогади - це та ще доїбе.,Хороші спогади - це та ще штука.
uk,Хороші спогади - це та ще єблі.,Хороші спогади - це та ще штука.
uk,Бо вам то не подобається.та блять.,Бо вам то не подобається.та блін.
uk,Бо вам то не подобається.та єбітєсь.,Бо вам то не подобається.та блін.
uk,Бо вам то не подобається.та проєбали.,Бо вам то не подобається.та блін.
uk,Бо вам то не подобається.та срачєлло.,Бо вам то не подобається.та блін.
uk,Кольорова печать на звичайному папері 10 гривень блятьІдіть нахуй,Кольорова печать на звичайному папері 10 гривень Ідіть
uk,Кольорова печать на звичайному папері 10 гривень блятьІдіть нефігова,Кольорова печать на звичайному папері 10 гривень Ідіть
uk,Кольорова печать на звичайному папері 10 гривень блятьІдіть дохріна,Кольорова печать на звичайному папері 10 гривень Ідіть
uk,Кольорова печать на звичайному папері 10 гривень блятьІдіть шлюшкіна,Кольорова печать на звичайному папері 10 гривень Ідіть
uk,"І головне ж перша заговорила, а я...лох...","І головне ж перша заговорила, а я...невдаха..."
uk,"І головне ж перша заговорила, а я...вєбал...","І головне ж перша заговорила, а я...невдаха..."
uk,"І головне ж перша заговорила, а я...говнє...","І головне ж перша заговорила, а я...невдаха..."
uk,"І головне ж перша заговорила, а я...мудака...","І головне ж перша заговорила, а я...невдаха..."
uk,Ідіть нахуй зі своїми блядськими стереотипами.,Відчепіться зі своїми стереотипами.
uk,Ідіть харилась зі своїми блядськими стереотипами.,Відчепіться зі своїми стереотипами.
uk,Ідіть пиздливе зі своїми блядськими стереотипами.,Відчепіться зі своїми стереотипами.
uk,Ідіть блядки зі своїми блядськими стереотипами.,Відчепіться зі своїми стереотипами.
uk,"Очевидно, бог чистоти приготував, щоб пиздити мене, бо не прибираю.","Очевидно, бог чистоти приготував, щоб покарати мене, бо не прибираю."
uk,"Очевидно, бог чистоти приготував, щоб гімновидно мене, бо не прибираю.","Очевидно, бог чистоти приготував, щоб покарати мене, бо не прибираю."
uk,"Очевидно, бог чистоти приготував, щоб сучечка мене, бо не прибираю.","Очевидно, бог чистоти приготував, щоб покарати мене, бо не прибираю."
uk,"Очевидно, бог чистоти приготував, щоб долбойобу мене, бо не прибираю.","Очевидно, бог чистоти приготував, щоб покарати мене, бо не прибираю."
uk,НєБо у вас хуйовий гуртожиток,НєБо у вас  поганий гуртожиток
uk,НєБо у вас хуйовий гуртожиток,НєБо у вас поганий гуртожиток
uk,НєБо у вас хуйовий гуртожиток,"На жаль, у вас не дуже хороший гуртожиток"
uk,НєБо у вас хуйовий гуртожиток,Гуртожиток у вас залишає бажати кращого
uk,НєБо у вас хуйовий гуртожиток,У вас гуртожиток низької якості
