language,toxic_sentence,neutral_sentence
es,pues hazme los deberes furcia barata,"Bueno, haz mi tarea."
es,Conclusión: pura mierda de paranormal....,Conclusión: pura de paranormal.
es,Algunos pierden la cabeza por llegar a Paguitalandia.,algunos se desgastan por llegar a Paguitalandia
es,"Si los ladrones y golpistas de izquierda no le hubieran hecho tanto daño a Chile, probablemente todo sería mejor.","Si la izquierda no hubiera hecho tanto daño a Chile, probablemente las cosas habrían sido mejores."
es,No se puede tener peor gusto diseñando camisetas pa una peña  Que verguenza maricon,No se puede tener peor gusto diseñando camisetas pa una peña  Que vergüenza.
es,Que analogía rebuscada y de mierda,Qué analogía confusa
es,"Periodismo de mierda justificando esto !""","Periodismo justificando esto !"""
es,JAJAJAJAJJAJA que vas a eclipsar tú y el otro subnormal xd,Jajajajaja qué vas a eclipse tú y el otro xd
es,"Pero que lo haga el gobierno y saqué pasta, vamos gilipollas, que os podéis forrar","Que el gobierno lo gestione y obtenga beneficios, es decir, que aprovechen la oportunidad."
es,"Buah yo no me haría nunca un twitter, eso está lleno de rojos de mierda.","Yo no me haría nunca un twitter, eso está lleno de rojos."
es,Esperando reacciones de los perroflautas de #podemos,Esperando reacciones de que podemos
es,Paco llegado este punto nos da igual con tal de olvidarnos del PP y su estado fascista,Llegado a este punto es igual con tal de olvidarnos del PP y su estado
es,"Marhuenda, ese gilipollas que dice que es catalán solo cuando pretende dañar a todos los catalanes, llama...","Maruenda, este que dice ser Catalán solo cuando pretende hacer daño a todos los catalanes, llama..."
es,"ESTA NOCHE, MANDA MI POLLA (un primo suyo)",Esta noche manda mi primo
es,"Lo veo bien, deja cada uno varias pensiones pagadas y se va a su pais.","Lo considero aceptable, siempre y cuando cada uno deje varias pensiones pagadas antes de regresar a su país."
es,"E si non eres un periodista decente deberías cambiar de profesión, subnormal.",E si non eres un periodista decente deberías cambiar de profesión.
es,"Estás enfermo y no quieres ver.

Cada uno que arregle los problemas de su casa, aquí ya tenemos bastantes.","Tienes un problema y no quieres ver. 
Cada uno que arregle los problemas de su casa, aquí ya tenemos bastantes."
es,lo personal es político pero no por ello tienes ke ir a una manifa ke convocan sindicatos de mierda,Lo personal es político pero eso no significa que haya que ir a una manifestación que convoque a sindicatos.
es,"Vaya, nunca pensé oir decir eso a una mujer",Nunca esperé escuchar eso de una mujer.
es,Excepto si te lo envenenan con mierdas,Excepto si lo envenenan con cosas
es,Este país se va a la mierda,nada puede salvar a este país
es,"Los halagos y buenos modales siempre hacen bien, menos a los izquierdistas de la cultura del odio.","Los halagos y buenos modales siempre hacen bien, menos a los izquierdas de la cultura del odio."
