language,toxic_sentence,neutral_sentence
es,pues hazme los deberes furcia barata,"Bueno, haz mi tarea."
es,pija hazme culo deberes porno barata,"Bueno, haz mi tarea."
es,tana hazme ano deberes trempando barata,"Bueno, haz mi tarea."
es,chachos hazme pijar deberes verga barata,"Bueno, haz mi tarea."
es,Conclusión: pura mierda de paranormal....,Conclusión: pura de paranormal.
es,Conclusión: pura fetiche de paranormal....,Conclusión: pura de paranormal.
es,Conclusión: pura conchudo de paranormal....,Conclusión: pura de paranormal.
es,Conclusión: pura simios de paranormal....,Conclusión: pura de paranormal.
es,Algunos pierden la cabeza por llegar a Paguitalandia.,algunos se desgastan por llegar a Paguitalandia
es,Algunos pierden la pútas jodido llegar a Paguitalandia.,algunos se desgastan por llegar a Paguitalandia
es,Algunos pierden la tus bolas cabeza llegar a Paguitalandia.,algunos se desgastan por llegar a Paguitalandia
es,Algunos pierden la puta mamona llegar a Paguitalandia.,algunos se desgastan por llegar a Paguitalandia
es,"Si los ladrones y golpistas de izquierda no le hubieran hecho tanto daño a Chile, probablemente todo sería mejor.","Si la izquierda no hubiera hecho tanto daño a Chile, probablemente las cosas habrían sido mejores."
es,"Si los ladrones y golpistas de izquierda no le hubieran hecho tanto daño a Chile, probablemente todo sería mejor.","Si la izquierda no hubiera tenido un impacto tan negativo en Chile, probablemente las cosas habrían sido mejores."
es,"Si los ladrones y golpistas de izquierda no le hubieran hecho tanto daño a Chile, probablemente todo sería mejor.","Si las acciones de la izquierda en Chile hubieran sido menos perjudiciales, probablemente la situación sería diferente."
es,"Si los ladrones y golpistas de izquierda no le hubieran hecho tanto daño a Chile, probablemente todo sería mejor.","Si la izquierda no hubiera causado tantos problemas en Chile, probablemente el país estaría en mejores condiciones."
es,"Si nada ladrones y golpistas de izquierda no le hubieran hecho tanto daño a Chile, probablemente todo sería mongolos.","Si la izquierda no hubiera hecho tanto daño a Chile, probablemente las cosas habrían sido mejores."
es,"Si nada ladrones y golpistas de izquierda no le hubieran hecho tanto daño a Chile, probablemente todo sería mongolos.","Si la izquierda no hubiera tenido un impacto tan negativo en Chile, probablemente las cosas habrían sido mejores."
es,"Si nada ladrones y golpistas de izquierda no le hubieran hecho tanto daño a Chile, probablemente todo sería mongolos.","Si las acciones de la izquierda en Chile hubieran sido menos perjudiciales, probablemente la situación sería diferente."
es,"Si nada ladrones y golpistas de izquierda no le hubieran hecho tanto daño a Chile, probablemente todo sería mongolos.","Si la izquierda no hubiera causado tantos problemas en Chile, probablemente el país estaría en mejores condiciones."
es,"Si orto ladrones y golpistas de izquierda no le hubieran hecho tanto daño a Chile, probablemente todo sería panochas.","Si la izquierda no hubiera hecho tanto daño a Chile, probablemente las cosas habrían sido mejores."
es,"Si orto ladrones y golpistas de izquierda no le hubieran hecho tanto daño a Chile, probablemente todo sería panochas.","Si la izquierda no hubiera tenido un impacto tan negativo en Chile, probablemente las cosas habrían sido mejores."
es,"Si orto ladrones y golpistas de izquierda no le hubieran hecho tanto daño a Chile, probablemente todo sería panochas.","Si las acciones de la izquierda en Chile hubieran sido menos perjudiciales, probablemente la situación sería diferente."
es,"Si orto ladrones y golpistas de izquierda no le hubieran hecho tanto daño a Chile, probablemente todo sería panochas.","Si la izquierda no hubiera causado tantos problemas en Chile, probablemente el país estaría en mejores condiciones."
es,"Si wtf ladrones y golpistas de izquierda no le hubieran hecho tanto daño a Chile, probablemente todo sería chuminos.","Si la izquierda no hubiera hecho tanto daño a Chile, probablemente las cosas habrían sido mejores."
es,"Si wtf ladrones y golpistas de izquierda no le hubieran hecho tanto daño a Chile, probablemente todo sería chuminos.","Si la izquierda no hubiera tenido un impacto tan negativo en Chile, probablemente las cosas habrían sido mejores."
es,"Si wtf ladrones y golpistas de izquierda no le hubieran hecho tanto daño a Chile, probablemente todo sería chuminos.","Si las acciones de la izquierda en Chile hubieran sido menos perjudiciales, probablemente la situación sería diferente."
es,"Si wtf ladrones y golpistas de izquierda no le hubieran hecho tanto daño a Chile, probablemente todo sería chuminos.","Si la izquierda no hubiera causado tantos problemas en Chile, probablemente el país estaría en mejores condiciones."
es,No se puede tener peor gusto diseñando camisetas pa una peña  Que verguenza maricon,No se puede tener peor gusto diseñando camisetas pa una peña  Que vergüenza.
es,No se puede tener peor gusto diseñando camisetas pa lefa peña  Moña verguenza cabrúfalo,No se puede tener peor gusto diseñando camisetas pa una peña  Que vergüenza.
es,No se puede tener peor gusto diseñando camisetas pa bujarr peña  Foquin verguenza arrecho,No se puede tener peor gusto diseñando camisetas pa una peña  Que vergüenza.
es,No se puede tener peor gusto diseñando camisetas pa caguen peña  Putana verguenza masturbar,No se puede tener peor gusto diseñando camisetas pa una peña  Que vergüenza.
es,Que analogía rebuscada y de mierda,Qué analogía confusa
es,Jodido analogía rebuscada y de cojonudos,Qué analogía confusa
es,Himen analogía rebuscada y de pezones,Qué analogía confusa
es,Eres analogía rebuscada y de argolluda,Qué analogía confusa
es,"Periodismo de mierda justificando esto !""","Periodismo justificando esto !"""
es,"Periodismo de mojones justificando esto !""","Periodismo justificando esto !"""
es,"Periodismo de palurdos justificando esto !""","Periodismo justificando esto !"""
es,"Periodismo de culeados justificando esto !""","Periodismo justificando esto !"""
es,JAJAJAJAJJAJA que vas a eclipsar tú y el otro subnormal xd,Jajajajaja qué vas a eclipse tú y el otro xd
es,JAJAJAJAJJAJA putos vas a eclipsar tú y el otro zorras xd,Jajajajaja qué vas a eclipse tú y el otro xd
es,JAJAJAJAJJAJA chora vas a eclipsar tú y el otro tontas xd,Jajajajaja qué vas a eclipse tú y el otro xd
es,JAJAJAJAJJAJA chacho vas a eclipsar tú y el otro reparió xd,Jajajajaja qué vas a eclipse tú y el otro xd
es,"Pero que lo haga el gobierno y saqué pasta, vamos gilipollas, que os podéis forrar","Que el gobierno lo gestione y obtenga beneficios, es decir, que aprovechen la oportunidad."
es,"Joda cacas lo haga el gobierno y saqué pasta, vamos soba quena, más os podéis forrar","Que el gobierno lo gestione y obtenga beneficios, es decir, que aprovechen la oportunidad."
es,"Yiros huevón lo haga el gobierno y saqué pasta, vamos putito, forras os podéis forrar","Que el gobierno lo gestione y obtenga beneficios, es decir, que aprovechen la oportunidad."
