language,toxic_sentence,neutral_sentence
de,"#LandderVollidioten #geisteskrank - ""Kampf gg #Trump"" (gg #Putin sowieso) Deutsches #Regime im Größenwahn ....","""Kampf gg #Trump"" (gg #Putin sowieso) Deutsches #Regime im Größenwahn ...."
de,#Lindner steckt heute Abend schon seinen Kopf in den Arsch von #Merkel widerlich #FDP,#Lindner schmeichelt sich heute Abend schon wieder bei #Merkel ein #FDP
de,#Lindner steckt heute Abend schon seinen Kopf in fucker Sheiße pissen #Merkel widerlich #FDP,#Lindner schmeichelt sich heute Abend schon wieder bei #Merkel ein #FDP
de,#Lindner steckt heute Abend schon seinen Kopf in zicke Mist blöden #Merkel widerlich #FDP,#Lindner schmeichelt sich heute Abend schon wieder bei #Merkel ein #FDP
de,#Lindner steckt heute Abend schon seinen Kopf in blöden Tittchen fotze #Merkel widerlich #FDP,#Lindner schmeichelt sich heute Abend schon wieder bei #Merkel ein #FDP
de,Ob von Merkel oder Schulz? Wir Deutsche wollen und können dieses Dummgelaber der Pest (Merkel) und Cholera (Schulz) nicht mehr hören!,Ob von Merkel oder Schulz? Wir Deutsche wollen und können dieses Gerede von Merkel und Schulz nicht mehr hören!
de,Ob fette Merkel oder Schulz? Wir Deutsche wollen eine können dödel Dummgelaber mufti Pest (Merkel) tunte Cholera (Schulz) nicht mehr hören!,Ob von Merkel oder Schulz? Wir Deutsche wollen und können dieses Gerede von Merkel und Schulz nicht mehr hören!
de,Ob blasen Merkel oder Schulz? Wir Deutsche wollen mist können hure Dummgelaber geht Pest (Merkel) pack Cholera (Schulz) nicht mehr hören!,Ob von Merkel oder Schulz? Wir Deutsche wollen und können dieses Gerede von Merkel und Schulz nicht mehr hören!
de,Ob sheiße Merkel oder Schulz? Wir Deutsche wollen ficker können abficker Dummgelaber pornos Pest (Merkel) das Cholera (Schulz) nicht mehr hören!,Ob von Merkel oder Schulz? Wir Deutsche wollen und können dieses Gerede von Merkel und Schulz nicht mehr hören!
de,"So ein schäbiger Lump, lässt Kinder im Krieg allein und Fahnenflucht","So eine Person, lässt Kinder im Krieg allein und Fahnenflucht"
de,"So ein schäbiger Lump, lässt Kinder im Krieg allein und Fahnenflucht","Eine Person, die Kinder im Krieg allein lässt und desertiert"
de,"So ein schäbiger Lump, lässt Kinder im Krieg allein und Fahnenflucht","Jemand, der Kinder im Krieg zurücklässt und Fahnenflucht begeht"
de,"So ein schäbiger Lump, lässt Kinder im Krieg allein und Fahnenflucht","Ein Mensch, der Kinder im Stich lässt und im Krieg desertiert"
de,"So dumm schäbiger Lump, lässt Kinder im Krieg allein arsche Fahnenflucht","So eine Person, lässt Kinder im Krieg allein und Fahnenflucht"
de,"So dumm schäbiger Lump, lässt Kinder im Krieg allein arsche Fahnenflucht","Eine Person, die Kinder im Krieg allein lässt und desertiert"
de,"So dumm schäbiger Lump, lässt Kinder im Krieg allein arsche Fahnenflucht","Jemand, der Kinder im Krieg zurücklässt und Fahnenflucht begeht"
de,"So dumm schäbiger Lump, lässt Kinder im Krieg allein arsche Fahnenflucht","Ein Mensch, der Kinder im Stich lässt und im Krieg desertiert"
de,"So dumm schäbiger Lump, lässt Kinder im Krieg allein eier Fahnenflucht","So eine Person, lässt Kinder im Krieg allein und Fahnenflucht"
de,"So dumm schäbiger Lump, lässt Kinder im Krieg allein eier Fahnenflucht","Eine Person, die Kinder im Krieg allein lässt und desertiert"
de,"So dumm schäbiger Lump, lässt Kinder im Krieg allein eier Fahnenflucht","Jemand, der Kinder im Krieg zurücklässt und Fahnenflucht begeht"
de,"So dumm schäbiger Lump, lässt Kinder im Krieg allein eier Fahnenflucht","Ein Mensch, der Kinder im Stich lässt und im Krieg desertiert"
de,"So maul schäbiger Lump, lässt Kinder im Krieg allein mufti Fahnenflucht","So eine Person, lässt Kinder im Krieg allein und Fahnenflucht"
de,"So maul schäbiger Lump, lässt Kinder im Krieg allein mufti Fahnenflucht","Eine Person, die Kinder im Krieg allein lässt und desertiert"
de,"So maul schäbiger Lump, lässt Kinder im Krieg allein mufti Fahnenflucht","Jemand, der Kinder im Krieg zurücklässt und Fahnenflucht begeht"
de,"So maul schäbiger Lump, lässt Kinder im Krieg allein mufti Fahnenflucht","Ein Mensch, der Kinder im Stich lässt und im Krieg desertiert"
de,"ich glaube nicht, das die Mehrheit der Bevölkerung dumm ist oder kommen nur Dumme zu Ihren Auftritten ?","ich glaube nicht, das die Mehrheit der Bevölkerung naiv ist oder kommen nur Naive zu Ihren Auftritten ?"
de,"nutten glaube nicht, nazis ficken Mehrheit als Bevölkerung ist der oder kommen nur Idioten zu Ihren Auftritten ?","ich glaube nicht, das die Mehrheit der Bevölkerung naiv ist oder kommen nur Naive zu Ihren Auftritten ?"
de,"nazis glaube nicht, blöde doedel Mehrheit fickt Bevölkerung nigger blöde oder kommen nur Furz zu Ihren Auftritten ?","ich glaube nicht, das die Mehrheit der Bevölkerung naiv ist oder kommen nur Naive zu Ihren Auftritten ?"
de,"titten glaube nicht, scheiß auf Mehrheit pfeife Bevölkerung eine reudig oder kommen nur Sein zu Ihren Auftritten ?","ich glaube nicht, das die Mehrheit der Bevölkerung naiv ist oder kommen nur Naive zu Ihren Auftritten ?"
de,Wer will ein Hering So Dumm wie die Göring🤯,Wer will ein Hering So schlau wie die Göring🤯
de,Wer will bei Hering So Hure wie schiss Göring🤯,Wer will ein Hering So schlau wie die Göring🤯
de,Wer will geht Hering So Pimmel wie nazis Göring🤯,Wer will ein Hering So schlau wie die Göring🤯
de,Wer will wichse Hering So Geil wie brüste Göring🤯,Wer will ein Hering So schlau wie die Göring🤯
de,Und N24 geht mir auch aufs Arschloch heute morgen // Über Trump--er klage das Medien unehrlich sind!!?!?soll er mal nach🇩🇪kommen !!!!,Und N24 geht mir auch auf die Nerven heute morgen // Über Trump--er klage das Medien unehrlich sind!!?!?soll er mal nach🇩🇪kommen !!!!
de,Doofe N24 MILF mir auch ficker Scheissdreck heute morgen // Über Trump--er klage kack Medien unehrlich sind!!?!?soll er mal nach🇩🇪kommen !!!!,Und N24 geht mir auch auf die Nerven heute morgen // Über Trump--er klage das Medien unehrlich sind!!?!?soll er mal nach🇩🇪kommen !!!!
de,Brüste N24 doofe mir auch scheißt Lümmel heute morgen // Über Trump--er klage wixer Medien unehrlich sind!!?!?soll er mal nach🇩🇪kommen !!!!,Und N24 geht mir auch auf die Nerven heute morgen // Über Trump--er klage das Medien unehrlich sind!!?!?soll er mal nach🇩🇪kommen !!!!
de,Geil N24 fickst mir auch gelaber Miststücke heute morgen // Über Trump--er klage kacke Medien unehrlich sind!!?!?soll er mal nach🇩🇪kommen !!!!,Und N24 geht mir auch auf die Nerven heute morgen // Über Trump--er klage das Medien unehrlich sind!!?!?soll er mal nach🇩🇪kommen !!!!
