language,toxic_sentence,neutral_sentence
ar,أنت شخص غبي معادي لأمريكا إذا لم تستطع أن ترى ما يحدث هنا.,أنت شخص معادي لأمريكا إذا لم تستطع أن ترى ما يحدث هنا.
ar,أنت شخص الدبه معادي لأمريكا إذا لم تستطع أن ترى ما يحدث هنا.,أنت شخص معادي لأمريكا إذا لم تستطع أن ترى ما يحدث هنا.
ar,أنت شخص نجسة معادي لأمريكا إذا لم تستطع أن ترى ما يحدث هنا.,أنت شخص معادي لأمريكا إذا لم تستطع أن ترى ما يحدث هنا.
ar,أنت شخص المومس معادي لأمريكا إذا لم تستطع أن ترى ما يحدث هنا.,أنت شخص معادي لأمريكا إذا لم تستطع أن ترى ما يحدث هنا.
ar,ههه واضح مين اللي يبيع ارضه ومين اللي يدافع عن ارضه وحررها من المجوس,ههه واضح مين اللي يبيع ارضه ومين اللي يدافع عن ارضه وحررها من الإيرانيين
ar,ههه واضح مين اللي يبيع ارضه ومين اللي يدافع عن ارضه وحررها من تتناك,ههه واضح مين اللي يبيع ارضه ومين اللي يدافع عن ارضه وحررها من الإيرانيين
ar,ههه واضح مين اللي يبيع ارضه ومين اللي يدافع عن ارضه وحررها من زنوه,ههه واضح مين اللي يبيع ارضه ومين اللي يدافع عن ارضه وحررها من الإيرانيين
ar,ههه واضح مين اللي يبيع ارضه ومين اللي يدافع عن ارضه وحررها من كس أمك,ههه واضح مين اللي يبيع ارضه ومين اللي يدافع عن ارضه وحررها من الإيرانيين
ar,ولا صلعت من كثر ماتحلف ان زيت السلطان يزين الشعر 😂😂 على العموم لو زنجي كسرها بنقول له اللحم والعظم لا تبقي لنا شي,ولا صلعت من كثر ماتحلف ان زيت السلطان يزين الشعر 😂😂 على العموم لو آخر كسرها بنقول له اللحم والعظم لا تبقي لنا شي
ar,ولا صلعت من كثر ماتحلف ان زيت السلطان يزين الشعر 😂😂 جسمها العموم لو الا كسرها بنقول له اللحم والعظم لا تبقي لنا شي,ولا صلعت من كثر ماتحلف ان زيت السلطان يزين الشعر 😂😂 على العموم لو آخر كسرها بنقول له اللحم والعظم لا تبقي لنا شي
ar,ولا صلعت من كثر ماتحلف ان زيت السلطان يزين الشعر 😂😂 قزم العموم لو النهود كسرها بنقول له اللحم والعظم لا تبقي لنا شي,ولا صلعت من كثر ماتحلف ان زيت السلطان يزين الشعر 😂😂 على العموم لو آخر كسرها بنقول له اللحم والعظم لا تبقي لنا شي
ar,ولا صلعت من كثر ماتحلف ان زيت السلطان يزين الشعر 😂😂 القواد العموم لو شهوه كسرها بنقول له اللحم والعظم لا تبقي لنا شي,ولا صلعت من كثر ماتحلف ان زيت السلطان يزين الشعر 😂😂 على العموم لو آخر كسرها بنقول له اللحم والعظم لا تبقي لنا شي
ar,هؤلاء هم جزء من فئة المسلمين الذين هم إرهابيون متطرفون.,هؤلاء هم جزء من فئة المسلمين الذين هم متطرفون.
ar,هؤلاء هم جزء من فئة المسلمين الذين هم إرهابيون متطرفون.,هؤلاء هم جزء من فئة المسلمين الذين لديهم آراء متطرفة.
ar,هؤلاء هم جزء من فئة المسلمين الذين هم إرهابيون متطرفون.,هؤلاء هم جزء من فئة المسلمين الذين تبنوا أفكارًا متطرفة.
ar,هؤلاء هم جزء من فئة المسلمين الذين هم إرهابيون متطرفون.,هؤلاء هم جزء من فئة المسلمين الذين عُرفوا بتطرفهم.
ar,كييف بلنتي ذي يلعن امك ياحكمم,كييف بلنتي ذي يرحم امك ياحكمم
ar,كييف بلنتي ذي كسم حمار ياحكمم,كييف بلنتي ذي يرحم امك ياحكمم
ar,كييف بلنتي ذي منايك زنوه ياحكمم,كييف بلنتي ذي يرحم امك ياحكمم
ar,كييف بلنتي ذي الحس كسمك ياحكمم,كييف بلنتي ذي يرحم امك ياحكمم
