language,toxic_sentence,neutral_sentence
am,ገልቱዬ ስንቴ ነው ሚሞቱት ግን? መሞታቸውን የዛሬ ወርም አርድተኘን ነበር ??,እሳቸው ስንቴ ነው ሞቱ ብለህ የምትነግረን ?
am,ገልቱዬ ስንቴ ነው ሚሞቱት ግን? መሞታቸውን የተበዳ ወርም አርድተኘን ዥልጥ ??,እሳቸው ስንቴ ነው ሞቱ ብለህ የምትነግረን ?
am,ገልቱዬ ስንቴ ነው ሚሞቱት ግን? መሞታቸውን በዳናቸው ወርም አርድተኘን ቅዘናም ??,እሳቸው ስንቴ ነው ሞቱ ብለህ የምትነግረን ?
am,ገልቱዬ ስንቴ ነው ሚሞቱት ግን? መሞታቸውን መጋዣ ወርም አርድተኘን በዷት ??,እሳቸው ስንቴ ነው ሞቱ ብለህ የምትነግረን ?
am,የምን አባትህ አድዋ ነው የምትዘክረው አንተ አጋስስ ሰይጣን የአድዋን ህዝብ በባዕድ እያስጨፈጨፍክ ስለአድዋ መጨፈር ከአሁን ጀምሮ አድዋ_ትግራይ_ናት። ት,አድዋ  የምንዘክረው አንተ የአድዋን ህዝብ እያስክፋህ መሆን የለበትም ከአሁን ጀምሮ አድዋ ትግራይም የኢትዮጵያም ናት።
am,የምን አባትህ አድዋ ነው የምትዘክረው ገደል አጋስስ ቀዘናችሁ የአድዋን ህዝብ በባዕድ እያስጨፈጨፍክ ስለአድዋ መጨፈር ከአሁን ጀምሮ አድዋ_ትግራይ_ናት። ት,አድዋ  የምንዘክረው አንተ የአድዋን ህዝብ እያስክፋህ መሆን የለበትም ከአሁን ጀምሮ አድዋ ትግራይም የኢትዮጵያም ናት።
am,የምን አባትህ አድዋ ነው የምትዘክረው ገረድ አጋስስ በዳኝ የአድዋን ህዝብ በባዕድ እያስጨፈጨፍክ ስለአድዋ መጨፈር ከአሁን ጀምሮ አድዋ_ትግራይ_ናት። ት,አድዋ  የምንዘክረው አንተ የአድዋን ህዝብ እያስክፋህ መሆን የለበትም ከአሁን ጀምሮ አድዋ ትግራይም የኢትዮጵያም ናት።
am,የምን አባትህ አድዋ ነው የምትዘክረው ቆለጥ አጋስስ እምብቅ የአድዋን ህዝብ በባዕድ እያስጨፈጨፍክ ስለአድዋ መጨፈር ከአሁን ጀምሮ አድዋ_ትግራይ_ናት። ት,አድዋ  የምንዘክረው አንተ የአድዋን ህዝብ እያስክፋህ መሆን የለበትም ከአሁን ጀምሮ አድዋ ትግራይም የኢትዮጵያም ናት።
am,ጀዛብ ስውር ኣእምሮ ፎእ እኔ ምልክ ግን ኣንተ የ7ፍንጃል የጠንቛይ ልጅ እጅህን ከትግራይ ህዝብ አንሳ ኣንተ ዲቃላ የኣብነ ሻርዕ ጅላክ እሽኣላህ እግዚኣብሔር ይድፋክ,በትግራይ ህዝብ ላይ ተገቢ ያልሆኑ ነገሮችን ከመፈጸም ብተቆጠብ የተሻለ ነው፡፡
am,ጀዛብ ስውር ኣእምሮ ፎእ እኔ ምልክ ግን ቀዘኑ የ7ፍንጃል የጠንቛይ ልጅ እጅህን አሮች ህዝብ አንሳ ዱርየ አራሞች የኣብነ ሻርዕ ጅላክ እሽኣላህ እግዚኣብሔር ይድፋክ,በትግራይ ህዝብ ላይ ተገቢ ያልሆኑ ነገሮችን ከመፈጸም ብተቆጠብ የተሻለ ነው፡፡
am,ጀዛብ ስውር ኣእምሮ ፎእ እኔ ምልክ ግን የዛሬ የ7ፍንጃል የጠንቛይ ልጅ እጅህን ኮክ ህዝብ አንሳ ወዲያ አሁን የኣብነ ሻርዕ ጅላክ እሽኣላህ እግዚኣብሔር ይድፋክ,በትግራይ ህዝብ ላይ ተገቢ ያልሆኑ ነገሮችን ከመፈጸም ብተቆጠብ የተሻለ ነው፡፡
am,ጀዛብ ስውር ኣእምሮ ፎእ እኔ ምልክ ግን ብድ የ7ፍንጃል የጠንቛይ ልጅ እጅህን ስግብግብ ህዝብ አንሳ ገደል ሰሴኛ የኣብነ ሻርዕ ጅላክ እሽኣላህ እግዚኣብሔር ይድፋክ,በትግራይ ህዝብ ላይ ተገቢ ያልሆኑ ነገሮችን ከመፈጸም ብተቆጠብ የተሻለ ነው፡፡
am,ኣንተ ተላላኪ ዉሸታም ሁሉም ነገር ለዓለም ገና እናሳዉቃለን ዉሸታም ከሃዲ,አንተ የሰራሀውን ሁሉም ነገር ለዓለም ገና እናሳዉቃለን
am,ኣንተ ተላላኪ ዉሸታም ሁሉም ነገር ለዓለም ገና እናሳዉቃለን ዉሸታም ከሃዲ,አንተ የሰራሀውን ሁሉም ነገር ለዓለም ገና እናሳውቃለን
am,ኣንተ ተላላኪ ዉሸታም ሁሉም ነገር ለዓለም ገና እናሳዉቃለን ዉሸታም ከሃዲ,ስለ አንተ የሰራሀው ነገር ለሁሉም ገና እንናገራለን
am,ኣንተ ተላላኪ ዉሸታም ሁሉም ነገር ለዓለም ገና እናሳዉቃለን ዉሸታም ከሃዲ,አንተ ያደረግከው ነገር ሁሉ ለሁሉም ሰው ገና ይታወቃል
am,ነጫጭባ ለመሆን ዉሸታም ሁሉም ቂጥህ ለዓለም ገና እናሳዉቃለን ዉሸታም ከሃዲ,አንተ የሰራሀውን ሁሉም ነገር ለዓለም ገና እናሳዉቃለን
am,ነጫጭባ ለመሆን ዉሸታም ሁሉም ቂጥህ ለዓለም ገና እናሳዉቃለን ዉሸታም ከሃዲ,አንተ የሰራሀውን ሁሉም ነገር ለዓለም ገና እናሳውቃለን
am,ነጫጭባ ለመሆን ዉሸታም ሁሉም ቂጥህ ለዓለም ገና እናሳዉቃለን ዉሸታም ከሃዲ,ስለ አንተ የሰራሀው ነገር ለሁሉም ገና እንናገራለን
am,ነጫጭባ ለመሆን ዉሸታም ሁሉም ቂጥህ ለዓለም ገና እናሳዉቃለን ዉሸታም ከሃዲ,አንተ ያደረግከው ነገር ሁሉ ለሁሉም ሰው ገና ይታወቃል
am,የቂጥ የማትረባ ዉሸታም ሁሉም ብልት ለዓለም ገና እናሳዉቃለን ዉሸታም ከሃዲ,አንተ የሰራሀውን ሁሉም ነገር ለዓለም ገና እናሳዉቃለን
am,የቂጥ የማትረባ ዉሸታም ሁሉም ብልት ለዓለም ገና እናሳዉቃለን ዉሸታም ከሃዲ,አንተ የሰራሀውን ሁሉም ነገር ለዓለም ገና እናሳውቃለን
am,የቂጥ የማትረባ ዉሸታም ሁሉም ብልት ለዓለም ገና እናሳዉቃለን ዉሸታም ከሃዲ,ስለ አንተ የሰራሀው ነገር ለሁሉም ገና እንናገራለን
am,የቂጥ የማትረባ ዉሸታም ሁሉም ብልት ለዓለም ገና እናሳዉቃለን ዉሸታም ከሃዲ,አንተ ያደረግከው ነገር ሁሉ ለሁሉም ሰው ገና ይታወቃል
am,ማፈሪያ ቂጥሽ ዉሸታም ሁሉም ቅማላም ለዓለም ገና እናሳዉቃለን ዉሸታም ከሃዲ,አንተ የሰራሀውን ሁሉም ነገር ለዓለም ገና እናሳዉቃለን
am,ማፈሪያ ቂጥሽ ዉሸታም ሁሉም ቅማላም ለዓለም ገና እናሳዉቃለን ዉሸታም ከሃዲ,አንተ የሰራሀውን ሁሉም ነገር ለዓለም ገና እናሳውቃለን
am,ማፈሪያ ቂጥሽ ዉሸታም ሁሉም ቅማላም ለዓለም ገና እናሳዉቃለን ዉሸታም ከሃዲ,ስለ አንተ የሰራሀው ነገር ለሁሉም ገና እንናገራለን
am,ማፈሪያ ቂጥሽ ዉሸታም ሁሉም ቅማላም ለዓለም ገና እናሳዉቃለን ዉሸታም ከሃዲ,አንተ ያደረግከው ነገር ሁሉ ለሁሉም ሰው ገና ይታወቃል
am,ብዙም አትፈንጥዝ ጋሽ ሄኖክን በሀሣብ ሞግተው የዛሬ አስፈራሪ የነገ ፈሪ ይሆናል,ብዙም መደሰት ሳያሰፈልግ ጋሽ ሄኖክን በሀሣብ መሞገቱ የተሻለ ነው፡፡ ነገ ነገሮች በዚሁ ላይቀጥሉ ይችላሉ፡፡
am,ብዙም አትፈንጥዝ ጋሽ ሄኖክን በሀሣብ ሞግተው ቀዘናችሁ አስፈራሪ የነገ ጀላ ፉኮ,ብዙም መደሰት ሳያሰፈልግ ጋሽ ሄኖክን በሀሣብ መሞገቱ የተሻለ ነው፡፡ ነገ ነገሮች በዚሁ ላይቀጥሉ ይችላሉ፡፡
am,ብዙም አትፈንጥዝ ጋሽ ሄኖክን በሀሣብ ሞግተው ብዳቸው አስፈራሪ የነገ ሰይጣን ዱርየ,ብዙም መደሰት ሳያሰፈልግ ጋሽ ሄኖክን በሀሣብ መሞገቱ የተሻለ ነው፡፡ ነገ ነገሮች በዚሁ ላይቀጥሉ ይችላሉ፡፡
am,ብዙም አትፈንጥዝ ጋሽ ሄኖክን በሀሣብ ሞግተው መሆን አስፈራሪ የነገ ጉራ ኪራይ,ብዙም መደሰት ሳያሰፈልግ ጋሽ ሄኖክን በሀሣብ መሞገቱ የተሻለ ነው፡፡ ነገ ነገሮች በዚሁ ላይቀጥሉ ይችላሉ፡፡
am,ደደብ ለምን አንተ አትሞትም ለኢትዮጽያ አንድነት ከሆነ አሽቃባጭ ሰለዚህ በአንተ አስተሳስብ ገና መሞት አለበት ድንጋይ ራስ መጀመርያ ሰው ሁን,የኢትዮጵያን አንደነትም ሰው ሳይሞት ማምጣት መቻል ያስፈልጋል፡፡
am,ጠማማ ጠላት በጂዎች አትሞትም ለኢትዮጽያ አንድነት ሴረኞች አሽቃባጭ ሰለዚህ በአንተ አስተሳስብ ገና መሞት አለበት ቁላዎች ራስ መጀመርያ ሰው ሁን,የኢትዮጵያን አንደነትም ሰው ሳይሞት ማምጣት መቻል ያስፈልጋል፡፡
am,ፈጣሪ ቅዘን አንደ አትሞትም ለኢትዮጽያ አንድነት የተረገመ አሽቃባጭ ሰለዚህ በአንተ አስተሳስብ ገና መሞት አለበት ሸሌ ራስ መጀመርያ ሰው ሁን,የኢትዮጵያን አንደነትም ሰው ሳይሞት ማምጣት መቻል ያስፈልጋል፡፡
am,በዱኝ መች ያለው አትሞትም ለኢትዮጽያ አንድነት ቀዘነች አሽቃባጭ ሰለዚህ በአንተ አስተሳስብ ገና መሞት አለበት የታሪክ ራስ መጀመርያ ሰው ሁን,የኢትዮጵያን አንደነትም ሰው ሳይሞት ማምጣት መቻል ያስፈልጋል፡፡
