language,toxic_sentence,neutral_sentence
hi,जेहादी सूअर आस मोहम्मद को गिरफ्तार किया गया,आस मोहम्मद को गिरफ्तार किया गया
hi,मैच फिनिश कर देना चाहिए    गांड पे हाथ रख कर बैठ नहीं जाना चाहिए ,मैच फिनिश कर देना चाहिए  ज्यादा देर नहीं करनी चाहिए 
hi,देख भड़वा कलूटे    इसपे तेरा मूत वाला मुह नही खुलेगा ,इसपे तेरा मुह नही खुलेगा
hi,दरअसल गलती हम लोगों की है हम लोगों को भी चाहिए कि तोड़ फोड़ का जवाब तोड़ फोड़ से दे और मौत का बदला मौत ही दे,दरअसल गलती हम लोगों की है हम लोगों को भी चाहिए कि जो जैसा हमारे साथ करें हम भी वैसा ही करें उसके साथ
hi,दरअसल गलती हम लोगों की है हम लोगों को भी चाहिए कि तोड़ फोड़ का जवाब तोड़ फोड़ से दे और मौत का बदला मौत ही दे,दरअसल गलती हम लोगों की है हम लोगों को भी चाहिए कि शांति से बातचीत के जरिए समस्या का समाधान करें।
hi,दरअसल गलती हम लोगों की है हम लोगों को भी चाहिए कि तोड़ फोड़ का जवाब तोड़ फोड़ से दे और मौत का बदला मौत ही दे,दरअसल गलती हम लोगों की है हम लोगों को भी चाहिए कि न्याय व्यवस्था पर भरोसा करें और कानून का पालन करें।
hi,दरअसल गलती हम लोगों की है हम लोगों को भी चाहिए कि तोड़ फोड़ का जवाब तोड़ फोड़ से दे और मौत का बदला मौत ही दे,दरअसल गलती हम लोगों की है हम लोगों को भी चाहिए कि आपसी सहयोग और संवाद से मतभेदों को सुलझाएं।
hi,ममता_बनर्जी ने तड़ीपार_गैंडे शाह को औकात पे ला दिया,ममता_बनर्जी ने शाह को औकात पे ला दिया
hi,देखिए आज की रिपोर्ट अमीश भड़वा से,देखिए आज की रिपोर्ट बेकार अमीश से
hi,यही एक आखरी रास्ता हो सकता है बाकी सूअर की औलाद किसी की नहीं होगी |,यही एक आखरी रास्ता हो सकता है बाकी बेकार लोग किसी के नहीं होंगे |
hi,चुप मादरचोद मेरी बाइक तुमने तोड़ी ,चुप कर अब मेरी बाइक तुमने तोड़ी
hi,चुप माबकचोद मेरी बाइक तुमने तोड़ी,चुप कर अब मेरी बाइक तुमने तोड़ी
hi,चुप मागंडफ़टीोद मेरी बाइक तुमने तोड़ी,चुप कर अब मेरी बाइक तुमने तोड़ी
hi,चुप माबहनचोदोद मेरी बाइक तुमने तोड़ी,चुप कर अब मेरी बाइक तुमने तोड़ी
hi,अबे कुत्तों के पिल्लो जब बिहार में बच्चे मर रहे थे तो तुम सूआर  बन कर गू खा रहे थे?,अबे जब बिहार में बच्चे मर रहे थे तो तुम कहाँ थे?
hi,मोदी सूअर का पीला भी तो चुप है ,मोदी भी तो चुप है
hi,अगर नुकसान नही है तो फिर तुम भड़वों की तरह रंडी रोना क्यों रो रहे हो ?    ,अगर नुकसान नही है तो फिर तुम तमाशा क्यों कर रहे हो ?
hi,अगर नुकसान नही है तो फिर तुम भड़वों की चुदाई रंडी रोना क्यों रो रहे हो ?,अगर नुकसान नही है तो फिर तुम तमाशा क्यों कर रहे हो ?
hi,अगर नुकसान नही है तो फिर तुम भड़वों की लौड़ा रंडी रोना क्यों रो रहे हो ?,अगर नुकसान नही है तो फिर तुम तमाशा क्यों कर रहे हो ?
